Matrix Size,Standard Sum,OpenMP Sum,Multithraed Sum,Standard Multiplication,OpenMP Multiplication,Multithraed Multiplication,
340,184.052,50.254,1131.52,97707.5,24311.8,13537.9,
341,184.372,50.575,837.356,95078.3,23534.3,12523.8,
342,185.332,51.214,918.979,97375.9,24267,13634.9,
343,188.533,50.574,910.016,98018,24625.2,13211.1,
344,187.573,50.895,881.207,102085,25101.8,13909.8,
345,190.134,51.535,924.1,99837.4,24737.2,13465.5,
346,190.774,52.815,921.539,99478.2,24796.4,13122.4,
347,189.814,50.894,815.909,105606,26105.3,14844.5,
348,192.054,52.495,904.575,111476,27571.6,15892.5,
349,194.934,52.175,884.729,110330,27254.1,15534.9,
350,194.615,54.416,897.213,104883,26228.2,14436.7,
351,194.935,52.814,838.956,107670,26765.3,14792.6,
352,197.495,54.095,1075.82,105472,26300.8,13917.5,
353,198.136,52.815,902.333,107050,26496.1,14527.3,
354,198.136,54.736,935.623,107928,26920.5,15042,
355,199.416,54.735,960.27,110364,27589.8,15320.1,
356,200.376,54.095,857.841,111110,27608.7,15276.6,
357,202.617,54.736,865.524,112625,28185.2,15542,
358,201.976,55.376,907.135,117805,29116.3,16283,
359,202.617,55.056,928.581,117797,28161.5,15369.1,
360,203.898,56.015,902.974,118006,29070.9,16467.4,
361,207.098,56.656,934.343,114674,28392.6,15354.1,
362,207.419,57.296,916.738,116283,28958.5,15788.8,
363,209.979,56.656,920.899,128732,31975.7,18054,
364,208.699,57.296,904.575,120996,29969.7,16778.8,
365,211.899,57.297,942.665,131408,32380,18534.8,
366,211.58,58.257,893.691,118758,29399.6,15823,
367,213.18,58.257,887.29,118564,29316.7,15212,
368,214.14,58.256,929.862,120392,29772.2,15880.9,
369,215.74,58.576,943.626,120733,30004.6,15790.7,
370,217.981,59.216,940.425,122266,30209.8,15752.9,
371,217.981,58.897,935.943,125022,30995.9,17050.2,
372,219.902,58.576,896.572,127818,31654.3,18310.1,
373,221.823,59.217,912.256,127905,31624.3,17997.7,
374,220.542,59.536,1078.06,130308,32451,18932.4,
375,222.463,60.817,869.044,128977,32097,17723.4,
376,222.463,68.179,856.881,132087,32749.4,18867.1,
377,223.743,128.996,979.155,133192,33089.9,19157.4,
