Size,Standard Multiplication,Multithraed Multiplication,Strassen Multiplication,
742,1.01519e+06,260737,233156,
743,1.0184e+06,261761,231715,
744,1.09695e+06,281974,232575,
745,1.02693e+06,263331,235101,
746,1.0314e+06,265544,231361,
747,1.03541e+06,265687,233740,
748,1.04124e+06,266763,234936,
749,1.05261e+06,267550,233605,
750,1.04756e+06,269298,235092,
751,1.05154e+06,270639,234081,
752,1.05663e+06,271723,230893,
753,1.06153e+06,272483,248527,
754,1.06437e+06,273823,246210,
755,1.06836e+06,273901,244667,
756,1.07615e+06,275208,244213,
757,1.07667e+06,278153,246380,
758,1.11438e+06,285370,244042,
759,1.08426e+06,279396,247456,
760,1.09441e+06,281783,243148,
761,1.09657e+06,280456,244339,
762,1.10049e+06,282695,243412,
763,1.10211e+06,286209,243978,
764,1.1065e+06,284185,244809,
765,1.11772e+06,285461,243180,
766,1.11576e+06,287477,246721,
767,1.12115e+06,290696,242398,
768,1.13317e+06,290660,242626,
769,1.12905e+06,289629,261647,
770,1.13511e+06,291156,265629,
771,1.13688e+06,291774,269485,
772,1.15914e+06,300752,267772,
773,1.1531e+06,296700,267381,
774,1.14594e+06,297768,267751,
775,1.15259e+06,295703,265522,
776,1.15494e+06,297044,264534,
777,1.16166e+06,296990,263880,
778,1.1676e+06,300031,263314,
779,1.17346e+06,301147,258662,
780,1.17574e+06,304133,264160,
781,1.42468e+06,367020,262379,
782,1.18016e+06,304116,262595,
783,1.19346e+06,306327,267948,
784,1.19747e+06,307787,264706,
785,1.21712e+06,311661,271281,
786,1.20871e+06,311115,271989,
787,1.21021e+06,311868,276070,
788,1.21664e+06,311661,277190,
789,1.22251e+06,313862,275111,
790,1.25204e+06,320489,274027,
791,1.23573e+06,315632,275186,
792,1.22964e+06,318967,275675,
793,1.2347e+06,316813,273909,
794,1.24072e+06,317069,276642,
795,1.24574e+06,319161,275930,
796,1.25998e+06,322812,277203,
797,1.25403e+06,321385,274894,
798,1.26594e+06,325281,275796,
799,1.27046e+06,326460,273633,
800,1.27288e+06,327807,272254,
801,1.28366e+06,328433,281304,
802,1.27422e+06,327961,281621,
803,1.29025e+06,332233,282543,
804,1.37159e+06,351443,283199,
805,1.37008e+06,351086,281576,
806,1.31214e+06,336909,282200,
807,1.36954e+06,351650,281553,
808,1.32027e+06,337501,280742,
809,1.32341e+06,338397,282750,
810,1.32879e+06,339898,285263,
811,1.48209e+06,377468,280393,
812,1.33606e+06,341965,280867,
813,1.34238e+06,343344,282342,
814,1.35215e+06,346113,287573,
815,1.35357e+06,346383,282064,
816,1.35835e+06,347137,279078,
817,1.37546e+06,350080,292556,
818,1.43747e+06,368225,295582,
819,1.45042e+06,370694,291972,
820,1.41512e+06,362588,293763,
821,1.39001e+06,355893,291259,
822,1.38602e+06,356204,292327,
823,1.38792e+06,354064,290671,
824,1.40952e+06,361040,292574,
825,1.39945e+06,357664,293225,
826,1.39746e+06,362197,292962,
827,1.40929e+06,362034,295051,
828,1.41047e+06,364605,290808,
829,1.52906e+06,390819,291503,
830,1.42771e+06,363549,291618,
831,1.49511e+06,383411,291194,
832,1.68773e+06,431236,290948,
833,1.44264e+06,369656,317392,
834,1.45053e+06,371908,322176,
835,1.44906e+06,371190,317376,
836,1.4607e+06,374843,319049,
837,1.81017e+06,463298,317774,
838,1.50914e+06,387233,317466,
839,1.47629e+06,377951,318514,
840,1.48317e+06,379591,318948,
841,1.51415e+06,381685,319943,
842,1.82658e+06,467655,322056,
843,2.24229e+06,576186,320648,
844,1.51426e+06,387762,318268,
845,1.5128e+06,389301,317913,
846,1.53169e+06,391921,318997,
847,1.72198e+06,442180,318712,
848,1.5374e+06,392376,316593,
849,1.52376e+06,390636,329813,
850,1.54228e+06,402934,330886,
851,1.54178e+06,395362,329575,
852,1.56586e+06,398056,328370,
853,1.54887e+06,396474,330398,
854,1.66229e+06,429903,327221,
855,1.64028e+06,421437,329610,
856,1.84613e+06,474942,328483,
857,1.57962e+06,403098,331541,
858,1.64276e+06,416208,327997,
859,1.59585e+06,409501,328507,
860,1.58903e+06,406413,332108,
861,1.87299e+06,479848,331097,
862,1.60702e+06,411472,330122,
863,1.6052e+06,412530,326531,
864,1.61559e+06,412893,327897,
865,1.61182e+06,413426,340870,
866,1.62469e+06,416733,341194,
867,2.30023e+06,594445,351036,
868,1.6572e+06,427868,339271,
869,1.90002e+06,484956,341693,
870,1.64732e+06,418533,338138,
871,1.79241e+06,461763,337970,
872,1.77998e+06,445833,338932,
873,1.66287e+06,427008,340547,
874,1.80234e+06,461789,342759,
875,1.73511e+06,443563,339943,
876,1.81903e+06,459564,342269,
877,1.70123e+06,435092,353345,
878,1.79684e+06,451244,340296,
879,1.70981e+06,435959,344486,
880,1.72247e+06,440397,336648,
881,1.72564e+06,437202,352514,
882,1.73538e+06,441529,351761,
883,2.14069e+06,544298,353372,
884,1.7404e+06,444594,352344,
885,2.00719e+06,498739,352705,
886,1.90074e+06,488753,355110,
887,1.77693e+06,454237,353510,
888,1.857e+06,465636,355061,
889,1.93141e+06,487345,351918,
890,2.26543e+06,582379,354157,
891,1.79895e+06,454407,350661,
892,2.11599e+06,533076,352375,
893,2.11903e+06,551488,354272,
894,1.83679e+06,461290,352879,
895,2.25173e+06,577772,351214,
896,1.89508e+06,481447,349537,
897,2.00606e+06,513242,380179,
898,1.99927e+06,503414,382101,
899,2.13807e+06,548580,379893,
900,2.81379e+06,717542,383143,
901,1.91064e+06,474104,382388,
